user_id,user_name,user_screenname,user_url,user_description,user_followers,user_friends,created,text,hashtags,mentions,urls,tweet_id,is_quote_status,favorite_count,retweet_count,reply_status_id,lang,source,location,query
44605684,Sanyam Khurana @ PyCon US🐍🐝,ErSanyamKhurana,,Bot who codes. The ZERO. CPython Bug Triager. DSF Member #Mozillian #FOSS Helping newbies. @pyconindia organizing volunteer #blogger at @TheGeekyWay. He/him,1123,919,2019-04-30T22:13:57,"@webKnjaZ @matrixise So, seems like @Delta  strategically made a Python corner for @pycon attendees. We're still mi… https://t.co/fjT4aNVBqf",[],"[(45325955, 'webKnjaZ'), (14374806, 'matrixise'), (5920532, 'Delta'), (9475182, 'pycon')]",['https://twitter.com/i/web/status/1123349799326093313'],1123349799326093313,False,15,2,1123341885538488320,en,Twitter for Android,,#pycon since:2019-04-30 until:2019-05-01
829564145557200896,Valery,valerybriz,https://t.co/OHjmvTOgg9,"Software engineer at @prescrypto, Pythonista🐍, @pythonguatemala Co-founder, @MxPyladies Co-organizer, Speaker and Geek🦄  Decoding The Universe",573,1188,2019-04-30T22:11:52,@nnja @code OMG I want those socks *.* but I can't go to the #Pycon this year :(,['Pycon'],"[(17513031, 'nnja'), (3167734591, 'code')]",[],1123349274304102400,False,0,0,1123300704678961152,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
18260147,"Skora, Will",skorasaurus,https://t.co/xwMUi0H1O1,Understanding the space around us: maps | Geospatial | open data | web development @cleveland_pl | organizing @opencleveland | tweets my own,1210,1204,2019-04-30T21:07:29,if any of y'all happen to be in CLE for #pycon ; I'm here.,['pycon'],[],[],1123333070696923136,False,0,0,,en,Twitter Web App,,#pycon since:2019-04-30 until:2019-05-01
880743180483907585,RladiesMilan,RladiesMilan,,The first R programming community for ladies in Milan to promote diversity & inclusivity in Data Science https://t.co/KqgT5m1u7b,397,328,2019-04-30T21:07:04,"Come &amp; join us @ #pyconit ! Tickets with 10% discount are available for Rladies community, using this code: PY10RLM… https://t.co/JOQ8LqkgO1",['pyconit'],[],['https://twitter.com/i/web/status/1123332968410484743'],1123332968410484743,False,4,2,,en,Twitter Web App,,#pycon since:2019-04-30 until:2019-05-01
2687984266,🐍Fundor 333🐳👨‍💻,fundor333,https://t.co/lRcNlNvmML,"Developer🐦 Huge fan of #git, #docker🐳, #opensource and #Pythonista 🐍. Love #manga 📚 , #coding 💻, #photography📷 and #books📘📖",112,372,2019-04-30T20:51:45,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123329111630520322,False,0,73,,en,Twitter for Android,,#pycon since:2019-04-30 until:2019-05-01
44126316,Dⓐniel Chen @pycon,chendaniely,https://t.co/WjPaQAQShi,PhD student @virginia_tech. MPH @cuepidemiology. Author. #DataScientist. @swcarpentry instructor #OpenScience advocate. #rstats and #pythonista.,878,590,2019-04-30T20:47:55,Spotted some cool (prototype) e-ink badges by @ericmjl at #PyCon2019 #pycon https://t.co/rCPQojt0ma,"['PyCon2019', 'pycon']","[(22042824, 'ericmjl')]",[],1123328149708734465,False,4,0,,en,Twitter for Android,,#pycon since:2019-04-30 until:2019-05-01
3549223637,pari125,parvanehshafiei,https://t.co/ysk81ylWPD,"Founder of #RLadies Milan, Data scientist in EY, with the focus of applying machine learning/analytics methods on processes & business",238,581,2019-04-30T20:43:26,"RT @RladiesMilan: We are delighted to be Media partner of PyCon X this year, which is happening 2ND - 5TH MAY 2019 in Florence, We will be…",[],"[(880743180483907585, 'RladiesMilan')]",[],1123327020321128448,False,0,6,,en,Twitter Web App,,#pycon since:2019-04-30 until:2019-05-01
2475637384,Fiorella De Luca,fiorella_deluca,,,261,326,2019-04-30T20:28:19,"RT @RladiesMilan: We are delighted to be Media partner of PyCon X this year, which is happening 2ND - 5TH MAY 2019 in Florence, We will be…",[],"[(880743180483907585, 'RladiesMilan')]",[],1123323214443229185,False,0,6,,en,Twitter for Android,,#pycon since:2019-04-30 until:2019-05-01
783037288863428608,RecruitingAffiliates,RABigdatajobs,https://t.co/GMRNGIKvZs,Entry level jobs and Internships in Big Data and Data Science #RecruitingAffiliate,236,53,2019-04-30T20:09:38,Here's a guide will help you navigate all there is to see and do at #PyCon https://t.co/EJvGIp9jDz #Python #DataScience,"['PyCon', 'Python', 'DataScience']",[],['https://lnkd.in/ecPS5d4'],1123318514205495296,False,0,0,,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
907624179691909120,gabriel @ pycon 2019 🐍,gnboorse,https://t.co/CvMlX8wdrc,Software Engineer 💻 #python #golang #java #Linux #opensource I support #NetNeutrality,72,326,2019-04-30T20:07:12,Super excited for my second #pycon! See you all Thursday #PyCon2019,"['pycon', 'PyCon2019']",[],[],1123317900876636161,False,4,0,,en,Twitter for iPhone,,#pycon since:2019-04-30 until:2019-05-01
